read,0,1,0,3522
net.haesleinhuepf.clij.ops.CLIJ_push.CLIJ_push,0,1,0,3098
CLIJ_create,0,1,0,3146
CLIJ_push,0,1,0,2049
CLIJ_maximumBox,0,1,0,1752
CLIJ_pull,0,1,0,357
total_op,0,1,0,7328
net.haesleinhuepf.clij.ops.CLIJ_push.CLIJ_push,0,1,1,1683
CLIJ_create,0,1,1,1707
CLIJ_push,0,1,1,1723
CLIJ_maximumBox,0,1,1,947
CLIJ_pull,0,1,1,351
total_op,0,1,1,4738
net.haesleinhuepf.clij.ops.CLIJ_push.CLIJ_push,0,1,2,2130
CLIJ_create,0,1,2,2154
CLIJ_push,0,1,2,1801
CLIJ_maximumBox,0,1,2,922
CLIJ_pull,0,1,2,346
total_op,0,1,2,5232
net.haesleinhuepf.clij.ops.CLIJ_push.CLIJ_push,0,1,3,2063
CLIJ_create,0,1,3,2086
CLIJ_push,0,1,3,1717
CLIJ_maximumBox,0,1,3,912
CLIJ_pull,0,1,3,380
total_op,0,1,3,5104
net.haesleinhuepf.clij.ops.CLIJ_push.CLIJ_push,0,1,4,1958
CLIJ_create,0,1,4,1979
CLIJ_push,0,1,4,2000
CLIJ_maximumBox,0,1,4,925
CLIJ_pull,0,1,4,379
total_op,0,1,4,5291
write,0,1,5,9253
